"IMDBID";"Title";"Genre";"Year";"URL";"Audience_Rating";"Critic_Rating";"Budget_In_Millions";"User_Review";"Polarity"
"tt0120804";"Resident Evil";"Action, Horror, Sci-Fi";2002;"https://m.media-amazon.com/images/M/MV5BN2Y2MTljNjMtMDRlNi00ZWNhLThmMWItYTlmZjYyZDk4NzYxXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg";6.7;3.3;33.0;"Killer Action/Zombie Hybrid";"Negative"

"tt0120824";"The Shipping News";"Drama";2002;"https://m.media-amazon.com/images/M/MV5BNWEwMmNiNjctNDY5ZC00NDIyLWFiZDctNDdlZGU5NjA0MzA2L2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg";6.8;4.7;35.0;"Another moving display of human sentiments from Hallström.";"Negative"

"tt0120903";"X-Men";"Action, Adventure, Sci-Fi";2000;"https://m.media-amazon.com/images/M/MV5BZmIyMDk5NGYtYjQ5NS00ZWQxLTg2YzQtZDk1ZmM4ZDBlN2E3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg";7.4;6.4;75.0;"Can your comic heros really come to life?";"Positive"

"tt0120910";"Fantasia 2000";"Animation, Comedy, Family, Fantasy, Music";2000;"https://m.media-amazon.com/images/M/MV5BMTE3OGUxNmItZmM3MC00ZTI3LTg0YTUtMzA3MGJkZjkyNjEyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg";7.2;5.9;80.0;"Amazing - a must-see for anyone who likes music!";"Positive"

"tt0120912";"Men in Black II";"Action, Adventure, Comedy, Mystery, Sci-Fi";2002;"https://m.media-amazon.com/images/M/MV5BMTMxNDA0NTMxMV5BMl5BanBnXkFtZTYwMDE2NzY2._V1_SX300.jpg";6.1;4.9;140.0;"Still good, just not as good";"Positive"

"tt0120913";"Titan A.E.";"Animation, Action, Adventure, Family, Sci-Fi";2000;"https://m.media-amazon.com/images/M/MV5BYTVkYTAyZDMtYzNmYi00OTkyLTg3M2ItNmE0MDZkNmY3Y2I3XkEyXkFqcGdeQXVyNjU2MDUzMjY@._V1_SX300.jpg";6.6;4.8;75.0;"Story doesn't matter - What a journey!";"Negative"

"tt0120917";"The Emperor's New Groove";"Animation, Adventure, Comedy, Family, Fantasy";2000;"https://m.media-amazon.com/images/M/MV5BNzk1ZDcwY2YtMzRhZi00OTYwLTkzMmYtMGMwN2Y3ZjM1MTM0XkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg";7.3;7.0;100.0;"Boom, baby!";"Negative"

"tt0121164";"Corpse Bride";"Animation, Drama, Family, Fantasy, Musical, Romance";2005;"https://m.media-amazon.com/images/M/MV5BMTk1MTY1NjU4MF5BMl5BanBnXkFtZTcwNjIzMTEzMw@@._V1_SX300.jpg";7.4;8.3;40.0;"This film is 100% spectacular!";"Negative"

"tt0121765";"Star Wars: Episode II - Attack of the Clones";"Action, Adventure, Fantasy, Sci-Fi";2002;"https://m.media-amazon.com/images/M/MV5BMDAzM2M0Y2UtZjRmZi00MzVlLTg4MjEtOTE3NzU5ZDVlMTU5XkEyXkFqcGdeQXVyNDUyOTg3Njg@._V1_SX300.jpg";6.6;5.4;115.0;"The Force is back";"Negative"

"tt0121766";"Star Wars: Episode III - Revenge of the Sith";"Action, Adventure, Fantasy, Sci-Fi";2005;"https://m.media-amazon.com/images/M/MV5BNTc4MTc3NTQ5OF5BMl5BanBnXkFtZTcwOTg0NjI4NA@@._V1_SX300.jpg";7.6;6.8;113.0;"This is war";"Negative"

"tt0122459";"Return to Me";"Comedy, Drama, Romance";2000;"https://m.media-amazon.com/images/M/MV5BMjIwNDEzODU3Nl5BMl5BanBnXkFtZTcwMjI0NzU2NA@@._V1_SX300.jpg";6.9;5.4;24.0;"One of the most surprisingly well done films I have seen in quite some time.";"Positive"

"tt0125022";"Heartbreakers";"Comedy, Crime, Romance";2001;"https://m.media-amazon.com/images/M/MV5BMTQ2NjE3NjQzOF5BMl5BanBnXkFtZTcwMDIwOTA0NA@@._V1_SX300.jpg";6.2;4.7;35.0;"Utterly delicious!";"Positive"

"tt0126029";"Shrek";"Animation, Adventure, Comedy, Family, Fantasy";2001;"https://m.media-amazon.com/images/M/MV5BOGZhM2FhNTItODAzNi00YjA0LWEyN2UtNjJlYWQzYzU1MDg5L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg";7.9;8.4;60.0;"Good quality entertainment.";"Positive"

"tt0130623";"Dinosaur";"Animation, Adventure, Family, Thriller";2000;"https://m.media-amazon.com/images/M/MV5BZWQ1NTZjMjUtODNmZS00NTVhLWFhM2ItNWZiOTdjMzdhZTY2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg";6.5;5.6;127.5;"Story's a fossil. But effects are high in the ""wow"" factor.";"Negative"

"tt0132245";"Driven";"Action, Drama, Sport";2001;"https://m.media-amazon.com/images/M/MV5BMjA5MDk4NzI0NF5BMl5BanBnXkFtZTYwNjU0Nzc5._V1_SX300.jpg";4.6;2.9;94.0;"Stallone's best in years.....and that's not saying much.....";"Positive"

"tt0133152";"Planet of the Apes";"Action, Adventure, Sci-Fi, Thriller";2001;"https://m.media-amazon.com/images/M/MV5BY2RlMDhlY2MtMjQ1Zi00NzI5LTgxOTgtZjliNWMzYTY3NWZkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg";5.7;5.0;100.0;"Nothing like the original, but just as impressive";"Positive"

"tt0133240";"Treasure Planet";"Animation, Adventure, Family, Sci-Fi";2002;"https://m.media-amazon.com/images/M/MV5BMTQ0NDg3MjU2OV5BMl5BanBnXkFtZTYwODgyMDg5._V1_SX300.jpg";7.1;6.0;140.0;"For Roy";"Negative"

"tt0134084";"Scream 3";"Horror, Mystery";2000;"https://m.media-amazon.com/images/M/MV5BMDljNmI1YzctNjJlZC00NzZlLWFlZTgtMDE4MjJiMDk0ZGY4XkEyXkFqcGdeQXVyMjg3MDQ0Mjk@._V1_SX300.jpg";5.6;5.6;40.0;"Oh the irony of it all...";"Negative"

"tt0134630";"Duets";"Comedy, Drama, Music, Romance";2000;"https://m.media-amazon.com/images/M/MV5BMTcwNTIxMjg5OV5BMl5BanBnXkFtZTcwNjIxODgyMQ@@._V1_SX300.jpg";6.0;4.0;15.0;"Guilty pleasure.";"Positive"

"tt0134847";"Pitch Black";"Horror, Sci-Fi";2000;"https://m.media-amazon.com/images/M/MV5BNTNmYzE1OWYtZDdjNC00OTdhLTg1YjUtYWJlZTVkMzkzNmVkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg";7.1;4.9;23.0;"Interesting and entertaining with a good cast of mostly unknowns and great special effects.";"Positive"

"tt0134983";"Supernova";"Horror, Sci-Fi, Thriller";2000;"https://m.media-amazon.com/images/M/MV5BMTgwMjI4OTU4MF5BMl5BanBnXkFtZTcwOTk3MTE3NA@@._V1_SX300.jpg";4.8;1.9;90.0;"I don't know why people harp on this movie";"Negative"

"tt0138524";"Intolerable Cruelty";"Comedy, Crime, Romance";2003;"https://m.media-amazon.com/images/M/MV5BMTU2OTc5Mjc0N15BMl5BanBnXkFtZTYwMDYyMjg3._V1_SX300.jpg";6.3;7.1;60.0;"Back to form.";"Negative"

"tt0138749";"The Road to El Dorado";"Animation, Adventure, Comedy, Family, Romance";2000;"https://m.media-amazon.com/images/M/MV5BOTEzNWIwMzctOTE1YS00YjIyLTgwZGEtMTMxZDAzNzlmODMxXkEyXkFqcGdeQXVyMjgyMDk1MzY@._V1_SX300.jpg";6.9;5.1;95.0;"They don't make movies like that anymore";"Negative"

"tt0139654";"Training Day";"Crime, Drama, Thriller";2001;"https://m.media-amazon.com/images/M/MV5BMDZkMTUxYWEtMDY5NS00ZTA5LTg3MTItNTlkZWE1YWRjYjMwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg";7.7;6.9;45.0;"Denzel's Acadamy Award Winning Moment";"Positive"

"tt0141399";"Isn't She Great";"Biography, Comedy, Drama";2000;"https://m.media-amazon.com/images/M/MV5BYmYyYmY5MWYtMjA0Yi00ZjgzLWE5ZjItNjdhOGRjMTc0MzY0XkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_SX300.jpg";5.4;3.4;44.0;"Bad film with a suicidal title...";"Negative"

"tt0141926";"U-571";"Action, War";2000;"https://m.media-amazon.com/images/M/MV5BMDE0YzUwMzMtY2NhZS00OGYxLWFhOWItN2ZlZThjOTA0NDQ4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg";6.6;6.2;62.0;"A reasonably good depiction of life on submarine during wartime.";"Positive"

"tt0142688";"The Ninth Gate";"Mystery, Thriller";2000;"https://m.media-amazon.com/images/M/MV5BM2Q1ZTFhMmYtNDljMS00Y2ZhLWE3M2QtMjYwYmFkYmJmMjI1XkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_SX300.jpg";6.7;4.4;38.0;"The only movie I've seen that makes books scary";"Negative"

"tt0144084";"American Psycho";"Crime, Drama";2000;"https://m.media-amazon.com/images/M/MV5BZTM2ZGJmNjQtN2UyOS00NjcxLWFjMDktMDE2NzMyNTZlZTBiXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg";7.6;6.4;7.0;"Interesting, always interesting!";"Positive"

"tt0144528";"Nutty Professor II: The Klumps";"Comedy, Romance, Sci-Fi";2000;"https://m.media-amazon.com/images/M/MV5BNjcyOWM2NTUtYzRjYS00ZTQ4LWFlZGItNTE2MDg4MGIxNjAyXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg";4.4;3.8;84.0;"Doesn't Measure Up";"Negative"

"tt0144964";"Highlander: Endgame";"Action, Adventure, Fantasy, Sci-Fi";2000;"https://m.media-amazon.com/images/M/MV5BZWMyZDdhNDYtNWE5MS00N2Q5LThmYjMtOGMzZjFmOGIzMWQ3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg";4.6;2.1;25.0;"Finally a sequel";"Negative"

"tt0145487";"Spider-Man";"Action, Adventure, Sci-Fi";2002;"https://m.media-amazon.com/images/M/MV5BZDEyN2NhMjgtMjdhNi00MmNlLWE5YTgtZGE4MzNjMTRlMGEwXkEyXkFqcGdeQXVyNDUyOTg3Njg@._V1_SX300.jpg";7.3;7.3;139.0;"Spider-Man (2002) - With Great Power Comes Great Responsibility!";"Positive"

"tt0146309";"Thirteen Days";"Drama, History, Thriller";2001;"https://m.media-amazon.com/images/M/MV5BZDM5NzBkZWMtZDY2Ny00OGMxLTgzMDUtZDZkNzRhM2M5MDIxL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg";7.3;6.7;80.0;"Thirteen Days was a wonderfully acted, wonderfully told story about the 13 days of the Cuban Missile Crisis, a time when the world almost came to an end.";"Positive"

"tt0146316";"Lara Croft: Tomb Raider";"Action, Adventure, Fantasy, Thriller";2001;"https://m.media-amazon.com/images/M/MV5BNzMzODVjMWUtYmIxZS00NDlkLTlmNTktNjI5NTdhZjUzYzY1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg";5.8;3.3;115.0;"I liked it!";"Positive"

"tt0146882";"High Fidelity";"Comedy, Drama, Music, Romance";2000;"https://m.media-amazon.com/images/M/MV5BMTgxMTI1ODYyOV5BMl5BanBnXkFtZTYwNjQyOTI3._V1_SX300.jpg";7.5;7.9;30.0;"Music is the soundtrack to your life";"Negative"

"tt0146984";"The Legend of Bagger Vance";"Drama, Fantasy, Sport";2000;"https://m.media-amazon.com/images/M/MV5BMWYzOGE4NGItYTAyNy00NDBkLTljYjMtYzE4MjFmYTY4NGVlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg";6.7;4.7;80.0;"This movie is about Redemption";"Negative"

"tt0149367";"Where the Money Is";"Drama, Comedy, Crime";2000;"https://m.media-amazon.com/images/M/MV5BNmY2ZTM0NjYtOTlhZC00YjA2LThjZTktOTUwMDExZjM3ZjU0XkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg";6.3;4.9;28.0;"Newman shines";"Negative"

"tt0149624";"All the Pretty Horses";"Drama, Romance, Western";2000;"https://m.media-amazon.com/images/M/MV5BZmI1N2Y4NTYtMzM0NS00YmNhLTk4MGUtYzg3NWE4Y2JlNjlkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg";5.8;5.5;57.0;"Might have been a masterpiece";"Positive"

"tt0149898";"Black and White";"Action, Mystery, Thriller";2001;"https://m.media-amazon.com/images/M/MV5BMTc3NDEzMzA4NF5BMl5BanBnXkFtZTcwMTQ2OTIyMQ@@._V1_SX300.jpg";5.3;0.0;0.0;"A surprisingly good erotic thriller!";"Positive"

"tt0156323";"Screwed";"Comedy, Crime";2000;"https://m.media-amazon.com/images/M/MV5BZDQwMzlmOGMtYmE5Mi00ZWYwLTkzOTAtMDdjNzgzNzRiN2VkXkEyXkFqcGdeQXVyNjU0NTI0Nw@@._V1_SX300.jpg";5.7;0.7;10.0;"Nothing intellectual or deeply engaging, but works because of clever casting and funny material. *** out of ****.";"Positive"

"tt0156639";"The Big Tease";"Comedy";2000;"https://m.media-amazon.com/images/M/MV5BMTQwODQ2OTYwM15BMl5BanBnXkFtZTcwMjU5NTAyMQ@@._V1_SX300.jpg";6.3;5.3;4.0;"Different . . . but there's nothing wrong with that!";"Positive"

"tt0156807";"Mr. Accident";"Comedy";2000;"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI4MTg5MjQxMF5BMl5BanBnXkFtZTcwNjk1NTMyMQ@@._V1_SX300.jpg";4.3;0.0;0.0;"Probably the Best Serious Film!";"Positive"

"tt0156812";"My Dog Skip";"Comedy, Drama, Family";2000;"https://m.media-amazon.com/images/M/MV5BMTc1NDgxMjg5MV5BMl5BanBnXkFtZTYwNTUxODc5._V1_SX300.jpg";7.0;6.1;6.0;"Some Good 'Ole Southern Charm";"Positive"

"tt0156841";"The Next Best Thing";"Comedy, Drama, Romance";2000;"https://m.media-amazon.com/images/M/MV5BY2VhNzI1ZTYtZGEyYy00Y2QzLTliYzYtMGM0ZTc1OGUzYTRkXkEyXkFqcGdeQXVyMTMxMTY0OTQ@._V1_SX300.jpg";4.7;2.5;25.0;"Unintentionally hilarious";"Positive"

"tt0157472";"Clockstoppers";"Action, Adventure, Comedy, Sci-Fi, Thriller";2002;"https://m.media-amazon.com/images/M/MV5BMTQ1Njc5MjgwNF5BMl5BanBnXkFtZTYwNTE3MTQ5._V1_SX300.jpg";5.2;4.0;26.0;"Made for children, but still a fun movie.";"Positive"

"tt0158622";"The Flintstones in Viva Rock Vegas";"Comedy, Family, Romance, Sci-Fi";2000;"https://m.media-amazon.com/images/M/MV5BNTUzYzQzMGQtNTYyNS00NmUzLThmZmUtMmIyNjQzNDU4YWYwXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg";3.6;2.7;83.0;"Why a prequel?";"Negative"

"tt0159097";"The Virgin Suicides";"Drama, Romance";2000;"https://m.media-amazon.com/images/M/MV5BNTMyMjI3MmItODIzNS00OWNiLWE5NTQtYmNhNGNlOTYyYWExXkEyXkFqcGdeQXVyMTA0MjU0Ng@@._V1_SX300.jpg";7.2;7.6;6.0;"""How much can you write about dead trees?""";"Negative"

"tt0159273";"Behind Enemy Lines";"Action, Drama, Thriller, War";2001;"https://m.media-amazon.com/images/M/MV5BM2RhNjdlYjMtOTM4Ni00MWZhLTkyZmItNmI2NDkxMjBhYTJkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg";6.4;4.9;40.0;"Behind.......way behind.....";"Negative"

"tt0159365";"Cold Mountain";"Adventure, Drama, History, Romance, War";2003;"https://m.media-amazon.com/images/M/MV5BMTY3NTc5NzcyOF5BMl5BanBnXkFtZTcwMDM0NjQyMQ@@._V1_SX300.jpg";7.2;7.3;79.0;"Hope in Times of Despair";"Positive"

"tt0160009";"The Art of War";"Action, Adventure, Crime, Thriller";2000;"https://m.media-amazon.com/images/M/MV5BNzAyMjE2MDI3M15BMl5BanBnXkFtZTYwNTIwMzg2._V1_SX300.jpg";5.7;3.0;60.0;"An unimaginative telling of a tale we've already heard. ** (out of four).";"Negative"

"tt0160127";"Charlie's Angels";"Action, Adventure, Comedy, Crime, Thriller";2000;"https://m.media-amazon.com/images/M/MV5BMGI1NTM5MTItNDcxMS00YTIwLTg1NjUtNzE5ZGE5NDkxMmU4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg";5.5;5.2;93.0;"Just Plain Fun !";"Positive"

"tt0160399";"Impostor";"Drama, Mystery, Sci-Fi, Thriller";2002;"https://m.media-amazon.com/images/M/MV5BMTQ2NDk5MDgxOF5BMl5BanBnXkFtZTcwMDA2MzMyMQ@@._V1_SX300.jpg";6.2;3.3;40.0;"Know Thyself";"Negative"

"tt0160484";"Lost Souls";"Drama, Horror, Thriller";2000;"https://m.media-amazon.com/images/M/MV5BMWVmM2Y0ZTQtZjkyNS00M2M5LTkzZTEtYTA3ODNkZWU4ODU5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg";4.8;1.6;50.0;"fairly run of the mill movie";"Negative"

"tt0160797";"Rules of Engagement";"Drama, Thriller, War";2000;"https://m.media-amazon.com/images/M/MV5BZjZmNWI1MTgtZjVjNi00M2FjLWI4YjUtNzkwNmYyMzM4NjMwXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg";6.4;4.5;60.0;"Insight and Drama";"Negative"

"tt0161081";"What Lies Beneath";"Drama, Fantasy, Horror, Mystery, Thriller";2000;"https://m.media-amazon.com/images/M/MV5BNTY4NjNkMTMtNTEyOC00NDBiLWFkZjMtZDkwYzU3OTFjOTkzXkEyXkFqcGdeQXVyNTUyMzE4Mzg@._V1_SX300.jpg";6.6;5.1;100.0;"Scary, spooky, in a way that reminds me of days gone by.";"Negative"

"tt0161083";"What's the Worst That Could Happen?";"Comedy, Crime";2001;"https://m.media-amazon.com/images/M/MV5BMTgyNTY4MzgzOF5BMl5BanBnXkFtZTcwMDQ1Nzg0NQ@@._V1_SX300.jpg";5.5;3.7;60.0;"Worst things have happened than this!";"Negative"

"tt0162222";"Cast Away";"Adventure, Drama, Romance";2000;"https://m.media-amazon.com/images/M/MV5BN2Y5ZTU4YjctMDRmMC00MTg4LWE1M2MtMjk4MzVmOTE4YjkzXkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_SX300.jpg";7.8;7.3;90.0;"What a fantastic film!!!";"Positive"

"tt0162346";"Ghost World";"Comedy, Drama";2001;"https://m.media-amazon.com/images/M/MV5BMTI5MDg2ODA2M15BMl5BanBnXkFtZTYwNDAzMjk2._V1_SX300.jpg";7.4;8.8;7.0;"Deadpan comic revulsion";"Negative"

"tt0162650";"Shaft";"Action, Crime, Thriller";2000;"https://m.media-amazon.com/images/M/MV5BYmJhNWMyOTUtZjgwZS00YzdjLTk1MmMtODJlOTExMDQ3MDU5XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg";5.9;5.0;46.0;"Still the man...";"Negative"

"tt0162983";"Hanging Up";"Comedy, Drama";2000;"https://m.media-amazon.com/images/M/MV5BNzJjYjgwZjMtYThhZi00NzNlLWI0Y2YtZjkxYWNlYWI2ZDJkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg";4.8;3.3;60.0;"Unfunny Ladies";"Negative"

"tt0163025";"Jurassic Park III";"Action, Adventure, Sci-Fi, Thriller";2001;"https://m.media-amazon.com/images/M/MV5BZDMyZGJjOGItYjJkZC00MDVlLWE0Y2YtZGIwMDExYWE3MGQ3XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_SX300.jpg";5.9;4.2;93.0;"The weakest of the first two films.";"Negative"

"tt0163676";"The In Crowd";"Drama, Mystery, Thriller";2000;"https://m.media-amazon.com/images/M/MV5BMTIyNDIyOTM2N15BMl5BanBnXkFtZTYwNjcxOTk4._V1_SX300.jpg";4.7;1.4;12.5;"Decent story, mediocre acting";"Negative"

"tt0163978";"The Beach";"Adventure, Drama, Romance, Thriller";2000;"https://m.media-amazon.com/images/M/MV5BNTljZTUzYWUtOTI4YS00NmZlLWE5MmQtZjFlZDZhNjg4MjQxXkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_SX300.jpg";6.6;4.3;50.0;"Do not miss this movie just because of its low rating";"Negative"

"tt0163983";"Bless the Child";"Crime, Drama, Horror";2000;"https://m.media-amazon.com/images/M/MV5BNWUwMmRiZDktMjMzMy00ZGZhLTlmNDItN2M3Yjc3MGExNzAyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg";5.1;1.7;65.0;"For ""true believers"" only!";"Positive"

"tt0164052";"Hollow Man";"Action, Horror, Sci-Fi, Thriller";2000;"https://m.media-amazon.com/images/M/MV5BZTM1MjM2Y2QtOTMyOS00ZTE4LWFiZTEtMjBjMjg3NmE0ZjMxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg";5.7;2.4;95.0;"For fans of the sci fi and slasher genres, and fans of Kevin Bacon";"Negative"

"tt0164184";"The Sum of All Fears";"Action, Drama, Thriller, War";2002;"https://m.media-amazon.com/images/M/MV5BZmFiZDkyYWQtMGNkZi00YmZkLThjNzAtY2U1YTVmYmNlNThmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg";6.4;4.5;68.0;"Forget that you have read the book.";"Negative"

"tt0164334";"Along Came a Spider";"Drama, Thriller";2001;"https://m.media-amazon.com/images/M/MV5BOTVlY2VhMWEtYmRlOC00YWVhLWEzMDktZWJlYzNiMWJmZTIwXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg";6.3;4.2;60.0;"Underrated. 7 of 10.";"Negative"

"tt0165831";"Held Up";"Comedy";2000;"https://m.media-amazon.com/images/M/MV5BMjA1OTE2MDQ0OV5BMl5BanBnXkFtZTcwNTg1MjgxMQ@@._V1_SX300.jpg";5.1;2.1;8.0;"very funny";"Positive"

"tt0165929";"Romeo Must Die";"Action, Crime, Thriller";2000;"https://m.media-amazon.com/images/M/MV5BMTI5Nzg1MjA5M15BMl5BanBnXkFtZTYwNzAxNzg2._V1_SX300.jpg";6.1;5.2;25.0;"The most violent ""interpretation"" of Shakespeare I`ve ever seen";"Negative"

"tt0165982";"Sinbad: Legend of the Seven Seas";"Animation, Adventure, Comedy, Drama, Family, Fantasy, Romance";2003;"https://m.media-amazon.com/images/M/MV5BMTIyMzE1ODI3NF5BMl5BanBnXkFtZTYwMDE3NDc2._V1_SX300.jpg";6.7;4.8;60.0;"An overlooked gem";"Negative"

"tt0166276";"Monkeybone";"Animation, Comedy, Fantasy";2001;"https://m.media-amazon.com/images/M/MV5BZjZiODk2MDMtNjI2OS00MTEzLWFlY2UtMzNhODE5MzNlM2Y0L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg";4.7;4.0;75.0;"Deserved to do better";"Positive"

"tt0166813";"Spirit: Stallion of the Cimarron";"Animation, Adventure, Drama, Family, Western";2002;"https://m.media-amazon.com/images/M/MV5BMTgyOTUzNDA1N15BMl5BanBnXkFtZTYwNjgwMDM3._V1_SX300.jpg";7.1;5.2;80.0;"We need more films like this";"Positive"

"tt0167190";"Hellboy";"Action, Fantasy, Horror, Sci-Fi";2004;"https://m.media-amazon.com/images/M/MV5BNTc1ZWY0ZTEtZTVmNi00MTg0LTg4NmQtZTI4OWNiMmQ0MWZkXkEyXkFqcGdeQXVyNTIzOTk5ODM@._V1_SX300.jpg";6.9;7.2;66.0;"B+ Good script, well-paced, overall very entertaining.";"Positive"

